user_id,date,morning_brush,afternoon_brush,night_brush,morning_floss,afternoon_floss,night_floss,morning_mouthwash,afternoon_mouthwash,night_mouthwash,total_brushes,total_floss,total_mouthwash,streak_days,score
1,2025-03-10,0,1,1,0,1,0,1,1,0,2,1,2,1,33
1,2025-03-09,1,1,1,1,1,1,1,1,1,3,3,3,2,58
1,2025-03-08,1,1,1,1,1,1,1,1,1,3,3,3,3,60
1,2025-03-07,1,1,1,1,1,1,1,1,1,3,3,3,4,62
1,2025-03-06,1,1,1,1,1,1,1,1,1,3,3,3,5,64
1,2025-03-05,0,0,0,1,0,1,0,1,1,0,2,2,0,16
1,2025-03-04,1,1,1,1,1,1,1,1,1,3,3,3,1,56
1,2025-03-03,1,0,1,0,0,0,0,0,1,2,0,1,2,27
1,2025-03-02,1,1,1,1,1,1,1,1,1,3,3,3,3,60
1,2025-03-01,1,0,1,0,0,0,0,0,1,2,0,1,4,31
1,2025-02-28,0,0,1,0,0,1,0,0,1,1,1,1,0,18
1,2025-02-27,1,1,1,0,1,1,1,0,1,3,2,2,1,48
1,2025-02-26,1,1,1,1,1,1,1,1,1,3,3,3,2,58
1,2025-02-25,1,1,1,1,1,1,1,1,1,3,3,3,3,60
1,2025-02-24,1,1,0,1,1,1,0,0,0,2,3,0,4,43
1,2025-02-23,1,1,1,1,0,1,0,0,0,3,2,0,5,50
1,2025-02-22,0,1,1,1,1,1,1,0,1,2,3,2,6,53
1,2025-02-21,1,1,1,1,1,1,1,1,1,3,3,3,7,68
1,2025-02-20,1,0,1,1,0,1,0,0,0,2,2,0,8,46
1,2025-02-19,1,0,1,0,0,1,0,0,1,2,1,1,9,46
1,2025-02-18,0,0,1,0,0,1,0,0,0,1,1,0,0,15
1,2025-02-17,1,0,1,0,1,1,0,0,1,2,2,1,1,35
1,2025-02-16,1,0,1,0,0,1,0,0,0,2,1,0,2,29
1,2025-02-15,1,1,1,1,1,1,1,1,1,3,3,3,3,60
1,2025-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2025-02-13,1,1,0,0,0,0,1,1,1,2,0,3,1,31
1,2025-02-12,0,1,0,1,1,0,0,0,0,1,2,0,0,20
1,2025-02-11,1,0,1,0,0,1,0,0,1,2,1,1,1,30
1,2025-02-10,1,1,1,1,1,1,1,1,1,3,3,3,2,58
1,2025-02-09,0,0,1,0,0,1,0,0,1,1,1,1,0,18
2,2025-03-10,1,0,0,0,0,1,0,0,1,1,1,1,0,18
2,2025-03-09,1,1,1,1,1,1,1,1,1,3,3,3,1,56
2,2025-03-08,1,1,1,0,0,1,1,0,1,3,1,2,2,45
2,2025-03-07,1,0,1,1,0,0,1,0,1,2,1,2,3,37
2,2025-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025-03-05,1,0,0,0,0,1,0,0,1,1,1,1,0,18
2,2025-03-04,1,1,1,0,0,1,0,0,0,3,1,0,1,37
2,2025-03-03,0,0,1,0,0,1,0,0,1,1,1,1,0,18
2,2025-03-02,1,1,1,1,0,1,1,0,1,3,2,2,1,48
2,2025-03-01,1,1,1,1,1,1,1,1,1,3,3,3,2,58
2,2025-02-28,1,0,1,0,0,0,0,0,1,2,0,1,3,29
2,2025-02-27,0,1,0,0,1,1,0,0,1,1,2,1,0,23
